Estacion;FECHA (YYMMDD);HORA (HHMM);MP10;MP2_5;CO;NO;NO2;O3;Humedad;Temperatura;Viento_v;;;;
Pudahuel;970404;0;114,917;;;;;35,4166;;;;;;;
Pudahuel;970405;0;102,5;;;;;38,5833;;;;;;;
Pudahuel;970406;0;64,6666;;;;;33,25;;;;;;;
Pudahuel;970407;0;79,9166;;;;;40,0833;;;;;;;
Pudahuel;970408;0;84,2916;;;;;32,5833;;;;;;;
Pudahuel;970409;0;159,542;;;;;46,25;;;;;;;
Pudahuel;970410;0;233,167;;2,43333;;;40,0833;;;;;;;
Pudahuel;970411;0;189,833;;2,94583;;;33,6666;;;;;;;
Pudahuel;970412;0;130,25;;0,716665;;;31,4583;;;;;;;
Pudahuel;970413;0;119,75;;0,749999;;;39,5416;;;;;;;
Pudahuel;970414;0;104,042;;0,791666;;;34,75;;;;;;;
Pudahuel;970415;0;88,25;;0,570832;;;31,2083;;;;;;;
Pudahuel;970416;0;64,7916;;0,470833;;;26,9167;;;;;;;
Pudahuel;970417;0;127,958;;1,2375;;;9,16666;;;;;;;
Pudahuel;970418;0;129,833;;1,47083;;;9,20833;;;;;;;
Pudahuel;970419;0;91,0416;;0,641665;;;21,7917;;;;;;;
Pudahuel;970420;0;120,917;;0,995832;;;27,2917;;;;;;;
Pudahuel;970421;0;79,7083;;0,245833;;;20,125;;;;;;;
Pudahuel;970422;0;165,875;;0,699999;;;8,79166;;;;;;;
Pudahuel;970423;0;129,542;;1,05416;;;7,41666;;;;;;;
Pudahuel;970424;0;51,375;;0,2375;;;15,5833;;;;;;;
Pudahuel;970425;0;163,042;;0,954165;;;27,4583;;;;;;;
Pudahuel;970426;0;201,458;;2,72499;;;18,5;;;;;;;
Pudahuel;970427;0;178,833;;2,225;;;21,9167;;;;;;;
Pudahuel;970428;0;252,333;;3,50454;;;25,625;;;;;;;
Pudahuel;970429;0;205,917;;2,32083;;;11,5454;;;;;;;
Pudahuel;970430;0;148,833;;1,24583;;;9,08333;;;;;;;
Pudahuel;970501;0;130,318;;0,974998;;;26,625;;;;;;;
Pudahuel;970502;0;174,636;;1,26956;;;30,2083;;;;;;;
Pudahuel;970503;0;233,083;;3,64583;;;34,5833;;;;;;;
Pudahuel;970504;0;145,833;;1,17083;;;34,9166;;;;;;;
Pudahuel;970505;0;175,833;;1,08333;;;27,1818;;;;;;;
Pudahuel;970506;0;346,333;;3,47916;;;28,8333;;;;;;;
Pudahuel;970507;0;235,083;;3,23333;;;20,1667;;;;;;;
Pudahuel;970508;0;163,333;;0,916665;;;20,625;;;;;;;
Pudahuel;970509;0;214,375;;1,87916;;;22,4583;;;;;;;
Pudahuel;970510;0;242,583;;2,3875;;;15,4583;;;;;;;
Pudahuel;970511;0;197,167;;2,025;;;31,0417;;;;;;;
Pudahuel;970512;0;90,5;;1,00417;;;7,91666;;;;;;;
Pudahuel;970513;0;142;;1,2;;;21,2917;;;;;;;
Pudahuel;970514;0;146,782;;0,887499;;;22,125;;;;;;;
Pudahuel;970515;0;154,625;;1,24583;;;21,7917;;;;;;;
Pudahuel;970516;0;93,5833;;0,513042;;;4,52174;;;;;;;
Pudahuel;970517;0;94,0833;;1,0375;;;2,91666;;;;;;;
Pudahuel;970518;0;20,5;;0,895832;;;13,375;;;;;;;
Pudahuel;970519;0;66,875;;1,9875;;;9;;;;;;;
Pudahuel;970520;0;95,4166;;0,891665;;;3,08696;;;;;;;
Pudahuel;970521;0;67,375;;0,895832;;;16,8333;;;;;;;
Pudahuel;970522;0;249,625;;4,47499;;;13;;;;;;;
Pudahuel;970523;0;246,167;;6,22916;;;11,4583;;;;;;;
Pudahuel;970524;0;313,417;;7,8;;;13,1667;;;;;;;
Pudahuel;970525;0;182,905;;3,6913;;;10,875;;;;;;;
Pudahuel;970526;0;126,75;;1,96666;;;5,91666;;;;;;;
Pudahuel;970527;0;212,083;;1,48947;;;12,7917;;;;;;;
Pudahuel;970528;0;200,792;;;;;6,08333;;;;;;;
Pudahuel;970529;0;14,2917;;;;;5,25;;;;;;;
Pudahuel;970530;0;;;;;;6,83333;;;;;;;
Pudahuel;970531;0;85,1666;;2,84999;;;3,79166;;;;;;;
Pudahuel;970601;0;164,167;;5,09583;;;15,9583;;;;;;;
Pudahuel;970602;0;106,375;;3,6125;;;15,5555;;;;;;;
Pudahuel;970603;0;;;1,61666;;;;;;;;;;
Pudahuel;970604;0;;;0,545832;;;9,16666;;;;;;;
Pudahuel;970605;0;59,1364;;0,795832;;;9,83333;;;;;;;
Pudahuel;970606;0;239,958;;4,87083;;;9,625;;;;;;;
Pudahuel;970607;0;220,375;;5,09999;;;16,75;;;;;;;
Pudahuel;970608;0;168;;3,09583;;;;;;;;;;
Pudahuel;970609;0;148,042;;1,6375;;;2,79166;;;;;;;
Pudahuel;970610;0;138,083;;1,85416;;;6,95833;;;;;;;
Pudahuel;970611;0;35,875;;0,991666;;;6,45833;;;;;;;
Pudahuel;970612;0;13,25;;0,399999;;;15,0417;;;;;;;
Pudahuel;970613;0;64,625;;1,02917;;;16,25;;;;;;;
Pudahuel;970614;0;44,9166;;1,69583;;;;;;;;;;
Pudahuel;970615;0;61,0416;;2,66666;;;4,375;;;;;;;
Pudahuel;970616;0;79,0416;;1,70416;;;7,16666;;;;;;;
Pudahuel;970617;0;77,5833;;1,32916;;;7,25;;;;;;;
Pudahuel;970618;0;52,7916;;1,325;;;6,16666;;;;;;;
Pudahuel;970619;0;65,125;;1,85;;;11,5417;;;;;;;
Pudahuel;970620;0;8,20833;;0,229166;;;20,375;;;;;;;
Pudahuel;970621;0;14,2273;;0,604166;;;16,25;;;;;;;
Pudahuel;970622;0;15,7917;;0,629166;;;7,75;;;;;;;
Pudahuel;970623;0;34,2916;;1,15417;;;11,6667;;;;;;;
Pudahuel;970624;0;82,7916;;2,4375;;;8,66666;;;;;;;
Pudahuel;970625;0;109,375;;3,12916;;;8,58333;;;;;;;
Pudahuel;970626;0;102,792;;1,89166;;;9,5;;;;;;;
Pudahuel;970627;0;144,5;;2,45833;;;10,125;;;;;;;
Pudahuel;970628;0;175,708;;2,5625;;;11,4583;;;;;;;
Pudahuel;970629;0;252,375;;4,74583;;;17,2917;;;;;;;
Pudahuel;970630;0;311,875;;7,49583;;;12,2917;;;;;;;
Pudahuel;970701;0;211,25;;7,64583;;;10,625;;;;;;;
Pudahuel;970702;0;143,5;;2,44583;;;8,45833;;;;;;;
Pudahuel;970703;0;152,625;;2,56666;;;8,45833;;;;;;;
Pudahuel;970704;0;277,458;;6,29999;;;9,375;;;;;;;
Pudahuel;970705;0;177,292;;5,55833;;;13,8333;;;;;;;
Pudahuel;970706;0;108,958;;2,52083;;;23,0417;;;;;;;
Pudahuel;970707;0;91,875;;1,25833;;;5,875;;;;;;;
Pudahuel;970708;0;177,417;;3,7;;;3,625;;;;;;;
Pudahuel;970709;0;147,042;;4,40416;;;6,04166;;;;;;;
Pudahuel;970710;0;132,875;;1,99583;;;4,83333;;;;;;;
Pudahuel;970711;0;111,125;;2,06666;;;11,875;;;;;;;
Pudahuel;970712;0;31,5833;;0,783332;;;10,375;;;;;;;
Pudahuel;970713;0;170,333;;3,87916;;;14;;;;;;;
Pudahuel;970714;0;187,042;;4,47916;;;6,5;;;;;;;
Pudahuel;970715;0;129,458;;2,26666;;;12,4583;;;;;;;
Pudahuel;970716;0;226,083;;3,8625;;;12,9583;;;;;;;
Pudahuel;970717;0;248,708;;5,89999;;;6,82608;;;;;;;
