Estacion;FECHA (YYMMDD);HORA (HHMM);MP10;MP2_5;CO;NO;NO2;O3;Humedad;Temperatura;Viento_v
Pudahuel;970404;0;114,917;;;;;354,166;;;
Pudahuel;970405;0;102,5;;;;;385,833;;;
Pudahuel;970406;0;646,666;;;;;33,25;;;
Pudahuel;970407;0;799,166;;;;;400,833;;;
Pudahuel;970408;0;842,916;;;;;325,833;;;
Pudahuel;970409;0;159,542;;;;;46,25;;;
Pudahuel;970410;0;233,167;;243,333;;;400,833;;;
Pudahuel;970411;0;189,833;;294,583;;;336,666;;;
Pudahuel;970412;0;130,25;;0,716665;;;314,583;;;
Pudahuel;970413;0;119,75;;0,749999;;;395,416;;;
Pudahuel;970414;0;104,042;;0,791666;;;34,75;;;
Pudahuel;970415;0;88,25;;0,570832;;;312,083;;;
Pudahuel;970416;0;647,916;;0,470833;;;269,167;;;
Pudahuel;970417;0;127,958;;12,375;;;916,666;;;
Pudahuel;970418;0;129,833;;147,083;;;920,833;;;
Pudahuel;970419;0;910,416;;0,641665;;;217,917;;;
Pudahuel;970420;0;120,917;;0,995832;;;272,917;;;
Pudahuel;970421;0;797,083;;0,245833;;;20,125;;;
Pudahuel;970422;0;165,875;;0,699999;;;879,166;;;
Pudahuel;970423;0;129,542;;105,416;;;741,666;;;
Pudahuel;970424;0;51,375;;0,2375;;;155,833;;;
Pudahuel;970425;0;163,042;;0,954165;;;274,583;;;
Pudahuel;970426;0;201,458;;272,499;;;18,5;;;
Pudahuel;970427;0;178,833;;2,225;;;219,167;;;
Pudahuel;970428;0;252,333;;350,454;;;25,625;;;
Pudahuel;970429;0;205,917;;232,083;;;115,454;;;
Pudahuel;970430;0;148,833;;124,583;;;908,333;;;
Pudahuel;970501;0;130,318;;0,974998;;;26,625;;;
Pudahuel;970502;0;174,636;;126,956;;;302,083;;;
Pudahuel;970503;0;233,083;;364,583;;;345,833;;;
Pudahuel;970504;0;145,833;;117,083;;;349,166;;;
Pudahuel;970505;0;175,833;;108,333;;;271,818;;;
Pudahuel;970506;0;346,333;;347,916;;;288,333;;;
Pudahuel;970507;0;235,083;;323,333;;;201,667;;;
Pudahuel;970508;0;163,333;;0,916665;;;20,625;;;
Pudahuel;970509;0;214,375;;187,916;;;224,583;;;
Pudahuel;970510;0;242,583;;23,875;;;154,583;;;
Pudahuel;970511;0;197,167;;2,025;;;310,417;;;
Pudahuel;970512;0;90,5;;100,417;;;791,666;;;
Pudahuel;970513;0;142;;1,2;;;212,917;;;
Pudahuel;970514;0;146,782;;0,887499;;;22,125;;;
Pudahuel;970515;0;154,625;;124,583;;;217,917;;;
Pudahuel;970516;0;935,833;;0,513042;;;452,174;;;
Pudahuel;970517;0;940,833;;10,375;;;291,666;;;
Pudahuel;970518;0;20,5;;0,895832;;;13,375;;;
Pudahuel;970519;0;66,875;;19,875;;;9;;;
Pudahuel;970520;0;954,166;;0,891665;;;308,696;;;
Pudahuel;970521;0;67,375;;0,895832;;;168,333;;;
Pudahuel;970522;0;249,625;;447,499;;;13;;;
Pudahuel;970523;0;246,167;;622,916;;;114,583;;;
Pudahuel;970524;0;313,417;;7,8;;;131,667;;;
Pudahuel;970525;0;182,905;;36,913;;;10,875;;;
Pudahuel;970526;0;126,75;;196,666;;;591,666;;;
Pudahuel;970527;0;212,083;;148,947;;;127,917;;;
Pudahuel;970528;0;200,792;;;;;608,333;;;
Pudahuel;970529;0;142,917;;;;;5,25;;;
Pudahuel;970530;0;;;;;;683,333;;;
Pudahuel;970531;0;851,666;;284,999;;;379,166;;;
Pudahuel;970601;0;164,167;;509,583;;;159,583;;;
Pudahuel;970602;0;106,375;;36,125;;;155,555;;;
Pudahuel;970603;0;;;161,666;;;;;;
Pudahuel;970604;0;;;0,545832;;;916,666;;;
Pudahuel;970605;0;591,364;;0,795832;;;983,333;;;
Pudahuel;970606;0;239,958;;487,083;;;9,625;;;
Pudahuel;970607;0;220,375;;509,999;;;16,75;;;
Pudahuel;970608;0;168;;309,583;;;;;;
Pudahuel;970609;0;148,042;;16,375;;;279,166;;;
Pudahuel;970610;0;138,083;;185,416;;;695,833;;;
Pudahuel;970611;0;35,875;;0,991666;;;645,833;;;
Pudahuel;970612;0;13,25;;0,399999;;;150,417;;;
Pudahuel;970613;0;64,625;;102,917;;;16,25;;;
Pudahuel;970614;0;449,166;;169,583;;;;;;
Pudahuel;970615;0;610,416;;266,666;;;4,375;;;
Pudahuel;970616;0;790,416;;170,416;;;716,666;;;
Pudahuel;970617;0;775,833;;132,916;;;7,25;;;
Pudahuel;970618;0;527,916;;1,325;;;616,666;;;
Pudahuel;970619;0;65,125;;1,85;;;115,417;;;
Pudahuel;970620;0;820,833;;0,229166;;;20,375;;;
Pudahuel;970621;0;142,273;;0,604166;;;16,25;;;
Pudahuel;970622;0;157,917;;0,629166;;;7,75;;;
Pudahuel;970623;0;342,916;;115,417;;;116,667;;;
Pudahuel;970624;0;827,916;;24,375;;;866,666;;;
Pudahuel;970625;0;109,375;;312,916;;;858,333;;;
Pudahuel;970626;0;102,792;;189,166;;;9,5;;;
Pudahuel;970627;0;144,5;;245,833;;;10,125;;;
Pudahuel;970628;0;175,708;;25,625;;;114,583;;;
Pudahuel;970629;0;252,375;;474,583;;;172,917;;;
Pudahuel;970630;0;311,875;;749,583;;;122,917;;;
Pudahuel;970701;0;211,25;;764,583;;;10,625;;;
Pudahuel;970702;0;143,5;;244,583;;;845,833;;;
Pudahuel;970703;0;152,625;;256,666;;;845,833;;;
Pudahuel;970704;0;277,458;;629,999;;;9,375;;;
Pudahuel;970705;0;177,292;;555,833;;;138,333;;;
Pudahuel;970706;0;108,958;;252,083;;;230,417;;;
Pudahuel;970707;0;91,875;;125,833;;;5,875;;;
Pudahuel;970708;0;177,417;;3,7;;;3,625;;;
Pudahuel;970709;0;147,042;;440,416;;;604,166;;;
Pudahuel;970710;0;132,875;;199,583;;;483,333;;;
Pudahuel;970711;0;111,125;;206,666;;;11,875;;;
Pudahuel;970712;0;315,833;;0,783332;;;10,375;;;
Pudahuel;970713;0;170,333;;387,916;;;14;;;
Pudahuel;970714;0;187,042;;447,916;;;6,5;;;
Pudahuel;970715;0;129,458;;226,666;;;124,583;;;
Pudahuel;970716;0;226,083;;38,625;;;129,583;;;
Pudahuel;970717;0;248,708;;589,999;;;682,608;;;
Pudahuel;970718;0;274,583;;773,332;;;831,818;;;
Pudahuel;970719;0;308,667;;746,666;;;187,917;;;
Pudahuel;970720;0;235,917;;642,082;;;19,375;;;
Pudahuel;970721;0;139,375;;237,916;;;11,125;;;
Pudahuel;970722;0;236,5;;373,333;;;127,917;;;
Pudahuel;970723;0;278,5;;46,375;;;22,625;;;
Pudahuel;970724;0;269,042;;4,8;;;15,125;;;
Pudahuel;970725;0;232,292;;241,666;;;10,125;;;
Pudahuel;970726;0;251,958;;4,55;;;645,833;;;
Pudahuel;970727;0;148,428;;480,908;;;206,667;;;
Pudahuel;970728;0;31;;0,47826;;;100,417;;;
Pudahuel;970729;0;48,875;;0,658333;;;829,166;;;
Pudahuel;970730;0;866,666;;0,470833;;;394,736;;;
Pudahuel;970731;0;257,917;;0,662498;;;10,125;;;
Pudahuel;970801;0;475,833;;0,612499;;;8,5;;;
Pudahuel;970802;0;859,166;;119,583;;;808,333;;;
Pudahuel;970803;0;111,25;;174,583;;;17,25;;;
Pudahuel;970804;0;159,524;;22,913;;;106,667;;;
Pudahuel;970805;0;162,625;;159,583;;;10,25;;;
Pudahuel;970806;0;220,125;;269,583;;;26,5;;;
